method,method_label,sweep_value,util_level,util_sum,weighted_success_sum,taskset_count,success_count,schedulable_ratio,weighted_schedulability_at_util
amc_max,AMC-max,8.0,0.6,120.00466818941574,106.80424250707397,200,178,0.89,0.8900007317923151
amc_max,AMC-max,8.0,0.625,124.98734261541127,98.1183903076927,200,157,0.785,0.7850266135316205
amc_max,AMC-max,8.0,0.65,129.9961177261602,98.79754398902715,200,152,0.76,0.7600038040916455
amc_max,AMC-max,8.0,0.675,135.00269360387634,103.27770002788262,200,153,0.765,0.7650047363567359
amc_max,AMC-max,8.0,0.7,140.0028971451819,97.30057354194629,200,139,0.695,0.6949897146845924
amc_max,AMC-max,8.0,0.725,144.9975116865508,92.0722847079659,200,127,0.635,0.634992170810515
amc_max,AMC-max,8.0,0.75,150.0063950339605,96.75490651191234,200,129,0.645,0.6450052112112129
amc_max,AMC-max,8.0,0.775,155.00190084898375,90.67833545727662,200,117,0.585,0.5850143447313159
amc_max,AMC-max,8.0,0.8,159.99428518820525,90.39774789460179,200,113,0.565,0.5650061049884668
amc_max,AMC-max,8.0,0.825,164.99677079888647,81.67366637956194,200,99,0.495,0.49500160508664415
amc_max,AMC-max,8.0,0.85,170.00155017353185,81.600606165989,200,96,0.48,0.47999918872912545
amc_max,AMC-max,8.0,0.875,175.00089893790636,79.62287443167729,200,91,0.455,0.45498551673113974
amc_max,AMC-max,8.0,0.9,179.9945391952204,77.39785673079959,200,86,0.43,0.43000113823928066
amc_max,AMC-max,8.0,0.925,184.99475956404584,49.023956705972815,200,53,0.265,0.26500186719613833
amc_max,AMC-max,8.0,0.95,189.9997599666717,27.54950361081032,200,29,0.145,0.14499757060557783
amc_max,AMC-max,8.0,0.975,194.99422454044145,8.774425798613704,200,9,0.045,0.04499838812812584
amc_max,AMC-max,24.0,0.025,5.193363442615399,5.193363442615399,200,200,1.0,1.0
amc_max,AMC-max,24.0,0.05,10.091269336004473,10.091269336004473,200,200,1.0,1.0
amc_max,AMC-max,24.0,0.075,15.070468488711633,15.070468488711633,200,200,1.0,1.0
amc_max,AMC-max,24.0,0.1,20.049684653655802,20.049684653655802,200,200,1.0,1.0
amc_max,AMC-max,24.0,0.125,25.045968767150473,25.045968767150473,200,200,1.0,1.0
amc_max,AMC-max,24.0,0.15,30.032348293729537,30.032348293729537,200,200,1.0,1.0
amc_max,AMC-max,24.0,0.175,35.03481563168826,35.03481563168826,200,200,1.0,1.0
amc_max,AMC-max,24.0,0.2,40.01359051469068,40.01359051469068,200,200,1.0,1.0
amc_max,AMC-max,24.0,0.225,45.02008529167424,45.02008529167424,200,200,1.0,1.0
amc_max,AMC-max,24.0,0.25,50.02618227286748,50.02618227286748,200,200,1.0,1.0
amc_max,AMC-max,24.0,0.275,55.02648903660512,55.02648903660512,200,200,1.0,1.0
amc_max,AMC-max,24.0,0.3,60.0099388609943,60.0099388609943,200,200,1.0,1.0
amc_max,AMC-max,24.0,0.325,65.021514353842,65.021514353842,200,200,1.0,1.0
amc_max,AMC-max,24.0,0.35,70.00536788460798,70.00536788460798,200,200,1.0,1.0
amc_max,AMC-max,24.0,0.375,75.0123631772482,75.0123631772482,200,200,1.0,1.0
amc_max,AMC-max,24.0,0.4,80.02065099499315,80.02065099499315,200,200,1.0,1.0
amc_max,AMC-max,24.0,0.425,85.02900547650643,85.02900547650643,200,200,1.0,1.0
amc_max,AMC-max,24.0,0.45,90.01378176470996,90.01378176470996,200,200,1.0,1.0
amc_max,AMC-max,24.0,0.475,95.00193603250041,95.00193603250041,200,200,1.0,1.0
amc_max,AMC-max,24.0,0.5,100.00537159137147,100.00537159137147,200,200,1.0,1.0
